ticket_id,category,priority,customer_segment,agent,status,created_date,resolved_date,resolution_time_hours,sla_status,created_month
TCK-1661,Billing,Low,Smb,Riya,Pending,2026-07-26 14:00:00,,,Open,2026-07
TCK-1099,Billing,Critical,Smb,Riya,Resolved,2026-02-28 23:00:00,,,Open,2026-02
TCK-1678,General Inquiry,Low,Enterprise,Sana,Pending,2026-01-14 02:00:00,2026-01-18 22:00:00,116.0,Within SLA,2026-01
TCK-1238,Bug Report,Medium,Smb,Priya,Closed,2026-01-04 06:00:00,2026-01-12 04:00:00,190.0,Breached,2026-01
TCK-1734,Account Access,Medium,Smb,Priya,Closed,2026-06-26 21:00:00,2026-07-02 05:00:00,128.0,Breached,2026-06
TCK-1142,Bug Report,High,Smb,Arjun,Open,2026-02-15 20:00:00,2026-02-23 22:00:00,194.0,Breached,2026-02
TCK-1951,Billing,Low,Enterprise,Riya,Closed,2026-02-24 05:00:00,2026-03-03 06:00:00,169.0,Breached,2026-02
TCK-1501,Account Access,Critical,Smb,Neha,Resolved,2026-06-17 12:00:00,2026-06-20 04:00:00,64.0,Breached,2026-06
TCK-1698,Account Access,Critical,Smb,Vikram,Resolved,2026-05-06 01:00:00,2026-05-09 07:00:00,78.0,Breached,2026-05
TCK-1180,Account Access,Critical,Smb,Karan,Resolved,2026-03-02 15:00:00,,,Open,2026-03
TCK-1958,Bug Report,High,Enterprise,Sana,Closed,2026-03-22 04:00:00,2026-03-25 08:00:00,76.0,Breached,2026-03
TCK-1796,Account Access,Low,Enterprise,Priya,Pending,2026-07-02 01:00:00,2026-07-06 14:00:00,109.0,Within SLA,2026-07
TCK-1541,Technical,High,Smb,Neha,Resolved,2026-03-20 16:00:00,,,Open,2026-03
TCK-1886,Feature Request,Low,Enterprise,Neha,Pending,2026-07-17 09:00:00,2026-07-21 02:00:00,89.0,Within SLA,2026-07
TCK-2112,Account Access,Low,Enterprise,Unassigned,Resolved,2026-06-28 14:00:00,2026-07-05 11:00:00,165.0,Within SLA,2026-06
TCK-1464,Technical,Low,Smb,Priya,Resolved,2026-05-09 03:00:00,,,Open,2026-05
TCK-1035,Account Access,Medium,Individual,Amit,Resolved,2026-06-12 13:00:00,2026-06-13 01:00:00,12.0,Within SLA,2026-06
TCK-1147,Account Access,Critical,Enterprise,Riya,Open,2026-05-15 16:00:00,2026-05-19 14:00:00,94.0,Breached,2026-05
TCK-1064,Billing,High,Smb,Arjun,Resolved,2026-06-28 09:00:00,2026-07-04 19:00:00,154.0,Breached,2026-06
TCK-1817,Billing,Critical,Individual,Vikram,Open,2026-01-13 20:00:00,2026-01-18 15:00:00,115.0,Breached,2026-01
TCK-1953,Account Access,Medium,Smb,Karan,Open,2026-05-17 20:00:00,2026-05-18 20:00:00,24.0,Within SLA,2026-05
TCK-1509,Bug Report,Low,Enterprise,Amit,Closed,2026-01-18 05:00:00,2026-01-19 10:00:00,29.0,Within SLA,2026-01
TCK-1913,Bug Report,Medium,Enterprise,Sana,Resolved,2026-04-13 20:00:00,2026-04-18 00:00:00,100.0,Breached,2026-04
TCK-1753,Feature Request,Low,Individual,Amit,Pending,2026-06-11 10:00:00,2026-06-19 15:00:00,197.0,Breached,2026-06
TCK-2139,General Inquiry,High,Smb,Sana,Resolved,2026-06-24 04:00:00,2026-06-27 07:00:00,75.0,Breached,2026-06
TCK-1253,General Inquiry,High,Enterprise,Neha,Resolved,2026-03-18 05:00:00,2026-03-24 07:00:00,146.0,Breached,2026-03
TCK-1111,Technical,Critical,Enterprise,Arjun,Resolved,2026-05-30 12:00:00,2026-06-03 12:00:00,96.0,Breached,2026-05
TCK-2147,Bug Report,Critical,Enterprise,Riya,Pending,2026-06-25 22:00:00,2026-06-29 17:00:00,91.0,Breached,2026-06
TCK-1375,Billing,Critical,Enterprise,Sana,Open,2026-05-24 20:00:00,2026-05-27 21:00:00,73.0,Breached,2026-05
TCK-1658,Billing,Low,Individual,Vikram,Pending,2026-03-02 06:00:00,,,Open,2026-03
TCK-1649,Billing,High,Smb,Riya,Pending,2026-02-08 23:00:00,2026-02-18 20:00:00,237.0,Breached,2026-02
TCK-1474,Technical,High,Smb,Riya,Resolved,2026-01-15 05:00:00,2026-01-19 22:00:00,113.0,Breached,2026-01
TCK-1572,Billing,Low,Enterprise,Neha,Pending,2026-01-24 03:00:00,2026-01-30 22:00:00,163.0,Within SLA,2026-01
TCK-1208,Technical,Low,Smb,Vikram,Closed,2026-05-18 08:00:00,2026-05-25 19:00:00,179.0,Breached,2026-05
TCK-2182,Bug Report,Medium,Individual,Arjun,Resolved,2026-07-28 01:00:00,,,Open,2026-07
TCK-1114,Billing,Critical,Smb,Sana,Resolved,2026-07-10 23:00:00,2026-07-15 10:00:00,107.0,Breached,2026-07
TCK-1931,Account Access,High,Enterprise,Priya,Closed,2026-07-17 23:00:00,2026-07-25 13:00:00,182.0,Breached,2026-07
TCK-2012,General Inquiry,Low,Individual,Sana,Closed,2026-04-03 23:00:00,2026-04-11 22:00:00,191.0,Breached,2026-04
TCK-1697,Technical,Medium,Smb,Sana,Resolved,2026-04-17 05:00:00,2026-04-24 19:00:00,182.0,Breached,2026-04
TCK-1212,Technical,High,Individual,Riya,Open,2026-02-15 01:00:00,2026-02-19 07:00:00,102.0,Breached,2026-02
TCK-1110,Billing,High,Smb,Arjun,Open,2026-07-25 17:00:00,2026-08-03 04:00:00,203.0,Breached,2026-07
TCK-2190,Account Access,High,Smb,Riya,Open,2026-07-15 11:00:00,2026-07-25 04:00:00,233.0,Breached,2026-07
TCK-1411,Account Access,Low,Smb,Karan,Resolved,2026-07-14 21:00:00,2026-07-18 13:00:00,88.0,Within SLA,2026-07
TCK-1396,Billing,Low,Enterprise,Karan,Resolved,2026-03-02 00:00:00,,,Open,2026-03
TCK-1882,Account Access,High,Enterprise,Unassigned,Pending,2026-04-30 13:00:00,2026-05-09 03:00:00,206.0,Breached,2026-04
TCK-1713,General Inquiry,Low,Enterprise,Riya,Resolved,2026-02-11 16:00:00,2026-02-18 05:00:00,157.0,Within SLA,2026-02
TCK-1514,Bug Report,High,Enterprise,Vikram,Pending,2026-07-17 14:00:00,2026-07-17 23:00:00,9.0,Within SLA,2026-07
TCK-2196,General Inquiry,High,Enterprise,Sana,Open,2026-01-15 18:00:00,2026-01-18 17:00:00,71.0,Breached,2026-01
TCK-1052,Bug Report,Medium,Enterprise,Vikram,Open,2026-06-06 23:00:00,2026-06-11 13:00:00,110.0,Breached,2026-06
TCK-1160,Billing,Low,Individual,Neha,Resolved,2026-07-14 22:00:00,2026-07-21 12:00:00,158.0,Within SLA,2026-07
TCK-1415,Technical,High,Smb,Arjun,Resolved,2026-05-04 16:00:00,2026-05-14 10:00:00,234.0,Breached,2026-05
TCK-1741,Technical,Critical,Individual,Neha,Open,2026-04-16 10:00:00,2026-04-26 04:00:00,234.0,Breached,2026-04
TCK-2024,Billing,Low,Smb,Priya,Open,2026-02-26 23:00:00,2026-02-28 21:00:00,46.0,Within SLA,2026-02
TCK-1961,Billing,Medium,Enterprise,Sana,Closed,2026-07-03 06:00:00,2026-07-13 06:00:00,240.0,Breached,2026-07
TCK-2178,General Inquiry,Low,Enterprise,Riya,Resolved,2026-01-15 00:00:00,2026-01-23 16:00:00,208.0,Breached,2026-01
TCK-1485,Bug Report,High,Smb,Sana,Pending,2026-06-07 00:00:00,2026-06-12 19:00:00,139.0,Breached,2026-06
TCK-2009,Billing,Medium,Enterprise,Unassigned,Open,2026-03-13 11:00:00,2026-03-16 03:00:00,64.0,Within SLA,2026-03
TCK-1152,Billing,High,Individual,Neha,Resolved,2026-05-10 17:00:00,2026-05-20 04:00:00,227.0,Breached,2026-05
TCK-1552,Account Access,Low,Enterprise,Priya,Closed,2026-04-10 21:00:00,2026-04-20 00:00:00,219.0,Breached,2026-04
TCK-1737,General Inquiry,High,Enterprise,Arjun,Closed,2026-02-23 11:00:00,2026-03-02 10:00:00,167.0,Breached,2026-02
TCK-2082,Feature Request,Low,Enterprise,Karan,Pending,2026-07-26 03:00:00,,,Open,2026-07
